algorithm,N,alpha,F1,stream_len,space,max_space,update_time_s,time_per_update_us,mean_absolute_error,max_absolute_error,median_absolute_error,mean_relative_error,max_relative_error,median_relative_error,nrmse,weighted_mean_rel_error,hh_precision,hh_recall,hh_f1,num_true_hh,num_est_hh
LearnedISS±,500000,8.0,33334,499998,800,800,3.0712342920014635,6.142493153975543,1.747834255296942,22.0,1.0,5.2433978979328665e-05,0.0006599868002639947,2.999940001199976e-05,7.337448834372572e-05,4.31721730958073e-05,1.0,1.0,1.0,9,9
MisraGries,1000000,1.5,500000,999998,127,150,0.2623541670036502,0.26235469171303366,9.577672266861455,2609.0,2.0,1.915534453372291e-05,0.005218,4e-06,0.00014837233910156548,0.00201459564,1.0,0.625,0.7692307692307693,8,5
LazySS±,1000000,1.5,500000,999998,150,150,2.0907166660181247,2.0907208474598193,17.11848064280497,3221.0,2.0,3.423696128560993e-05,0.006442,4e-06,0.0003453868920301802,0.000911321284,0.8888888888888888,1.0,0.9411764705882353,8,9
SS±,1000000,1.5,500000,999998,150,150,2.368672249955125,2.3686769873090996,15.059313367421476,2624.0,2.0,3.0118626734842957e-05,0.005248,4e-06,0.0002822071684102272,0.000461947152,1.0,1.0,1.0,8,8
DoubleSS±,1000000,1.5,500000,999998,150,150,1.6329006250016391,1.6329038908094207,20.875578280983685,8522.0,2.0,4.175115656196737e-05,0.017044,4e-06,0.0006452895575627936,0.00132351864,0.10666666666666667,1.0,0.1927710843373494,8,75
IntegratedSS±,1000000,1.5,500000,999998,150,150,3.8467998749692924,3.8468075685844294,15.059313367421476,2624.0,2.0,3.0118626734842957e-05,0.005248,4e-06,0.0002822071684102272,0.000461947152,1.0,1.0,1.0,8,8
CountMin,1000000,1.5,500000,999998,1360,1360,1.3588783749728464,1.3588810927350317,806.0441441441442,2202.0,832.0,0.0016120882882882882,0.004404,0.001664,0.0016506589008672924,0.001614885888,0.8,1.0,0.888888888888889,8,10
α-CountMin,1000000,1.5,500000,999998,1632,1632,1.1022821249789558,1.1022843295476148,484.90752373995616,1969.0,457.0,0.0009698150474799124,0.003938,0.000914,0.0010036507055438853,0.000999904404,0.8888888888888888,1.0,0.9411764705882353,8,9
CountSketch,1000000,1.5,500000,999998,150000,150000,2.1816641250043176,2.1816684883412942,1.24572680788897,175.0,1.0,2.4914536157779402e-06,0.00035,2e-06,5.661552569907494e-06,2.849016e-06,1.0,1.0,1.0,8,8
α-CountSketch,1000000,1.5,500000,999998,120000,120000,1.7689110830542631,1.768914620883505,2.205210616021427,148.0,1.0,4.410421232042854e-06,0.000296,2e-06,9.260886170411013e-06,6.60136e-06,1.0,1.0,1.0,8,8
LearnedISS±,1000000,1.5,500000,999998,150,150,2.6170198330073617,2.617025067057496,6.6009495982468955,614.0,2.0,1.320189919649379e-05,0.001228,4e-06,4.3922390992346244e-05,8.6136924e-05,1.0,1.0,1.0,8,8
MisraGries,1000000,2.0,333333,999999,166,200,0.29398987494641915,0.2939901689365881,7.049485628258385,1264.0,2.0,2.1148478033253188e-05,0.003792003792003792,6.000006000006e-06,0.00013538975687349148,0.0015677920205824734,1.0,0.75,0.8571428571428571,8,6
LazySS±,1000000,2.0,333333,999999,200,200,2.2429974999977276,2.242999742997471,13.023474309292146,1654.0,2.0,3.907046199833844e-05,0.004962004962004962,6.000006000006e-06,0.0003275832943266298,0.0007830251730495631,0.8888888888888888,1.0,0.9411764705882353,8,9
SS±,1000000,2.0,333333,999999,200,200,2.4637276249704883,2.4637300887005766,10.912487105857426,1265.0,2.0,3.273749405506633e-05,0.003795003795003795,6.000006000006e-06,0.00024969833553642034,0.00031367166934302503,1.0,1.0,1.0,8,8
DoubleSS±,1000000,2.0,333333,999999,200,200,2.030762083013542,2.0307641137776558,17.8530207142658,5504.0,2.0,5.355911570191309e-05,0.016512016512016513,6.000006000006e-06,0.0007494598592219504,0.0010567734915459264,0.09523809523809523,1.0,0.17391304347826084,8,84
IntegratedSS±,1000000,2.0,333333,999999,200,200,3.8307462090160698,3.8307500397661096,10.912487105857426,1265.0,2.0,3.273749405506633e-05,0.003795003795003795,6.000006000006e-06,0.00024969833553642034,0.00031367166934302503,1.0,1.0,1.0,8,8
CountMin,1000000,2.0,333333,999999,1360,1360,1.3814223340013996,1.381423715425115,536.5058128188687,1437.0,548.0,0.0016095190479756536,0.004311004311004311,0.001644001644001644,0.0016480345080706145,0.0016070595581175091,0.8,1.0,0.888888888888889,8,10
α-CountMin,1000000,2.0,333333,999999,2176,2176,1.1260587080032565,1.1260598340630905,246.3024338565335,724.0,241.0,0.000738908040477641,0.002172002172002172,0.000723000723000723,0.0007564068224688872,0.0007180760031512883,0.8888888888888888,1.0,0.9411764705882353,8,9
CountSketch,1000000,2.0,333333,999999,150000,150000,2.182831999962218,2.182834182796401,0.7963143661657699,128.0,0.0,2.388945487442797e-06,0.000384000384000384,0.0,5.705987283768776e-06,2.9334298668568004e-06,1.0,1.0,1.0,8,8
