dataset,algorithm,alpha,N,F1,distinct,space,max_space,update_time_s,time_per_update_us,mean_absolute_error,max_absolute_error,median_absolute_error,mean_relative_error,max_relative_error,median_relative_error,nrmse,weighted_mean_rel_error,hh_precision,hh_recall,hh_f1,num_true_hh,num_est_hh
Zipf_s2.0,α-CountMin,2.0,499999,166667,575,2176,2176,0.5568954999907874,1.1137932275680298,0.22434782608695653,3.0,0.0,1.3460842643532104e-06,1.7999964000072e-05,0.0,3.4216632294532826e-06,1.0244839020602939e-06,1.0,1.0,1.0,7,7
Zipf_s2.0,CountSketch,2.0,499999,166667,575,150000,150000,1.1129801660426892,2.2259647840149466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7,7
Zipf_s2.0,α-CountSketch,2.0,499999,166667,575,120000,120000,0.8347422080114484,1.6694877549984068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7,7
Zipf_s2.0,LearnedISS±,2.0,499999,166667,575,189,200,0.1866184159880504,0.3732375784512577,1.0713043478260869,9.0,1.0,6.427813231330059e-06,5.3999892000216e-05,5.999988000024e-06,8.924009318544965e-06,5.6771772912681264e-08,1.0,1.0,1.0,7,7
Uniform,MisraGries,2.0,499999,166667,48246,42,200,0.2075039169867523,0.4150086639908326,3.4536541889483066,14.0,3.0,2.072188368992246e-05,8.3999832000336e-05,1.7999964000072e-05,2.3193708266442663e-05,2.5959748160903517e-05,1.0,1.0,1.0,0,0
Uniform,LazySS±,2.0,499999,166667,48246,200,200,1.750138417002745,3.500283834573159,8.432595448327323,1209.0,3.0,5.059547149902094e-05,0.007253985492029016,1.7999964000072e-05,0.00046620222359500306,6.451354194557416e-05,1.0,1.0,1.0,0,0
Uniform,SS±,2.0,499999,166667,48246,200,200,2.021726833016146,4.043461752955798,6.872030841935083,833.0,3.0,4.123210258740532e-05,0.004997990004019992,1.7999964000072e-05,0.00032103458956088307,5.2412118351316946e-05,1.0,1.0,1.0,0,0
Uniform,DoubleSS±,2.0,499999,166667,48246,200,200,1.4555696250172332,2.911145072324611,10.344774696347883,3333.0,3.0,6.206852404103922e-05,0.019997960004079992,1.7999964000072e-05,0.0009095955648582742,8.01498274003698e-05,0.0,1.0,0.0,0,100
Uniform,IntegratedSS±,2.0,499999,166667,48246,200,200,3.13207687495742,6.264166278247396,6.872030841935083,833.0,3.0,4.123210258740532e-05,0.004997990004019992,1.7999964000072e-05,0.00032103458956088307,5.2412118351316946e-05,1.0,1.0,1.0,0,0
Uniform,CountMin,2.0,499999,166667,48246,1360,1360,0.6372627500095405,1.2745280490751791,579.7826555569374,642.0,580.0,0.0034786889759636725,0.0038519922960154078,0.00347999304001392,0.0034801869784046,0.0034786420014180797,1.0,1.0,1.0,0,0
Uniform,α-CountMin,2.0,499999,166667,48246,2176,2176,0.5439945409889333,1.0879912579603823,284.8280686481781,328.0,285.0,0.0017089649939590805,0.001967996064007872,0.00170999658000684,0.0017105007853569383,0.0017087396090347288,1.0,1.0,1.0,0,0
Uniform,CountSketch,2.0,499999,166667,48246,150000,150000,1.052163082989864,2.1043303746404773,1.5772292003482153,9.0,1.0,9.463356275376741e-06,5.3999892000216e-05,5.999988000024e-06,1.3249916891578776e-05,9.471454114145658e-06,1.0,1.0,1.0,0,0
Uniform,α-CountSketch,2.0,499999,166667,48246,120000,120000,0.8596117090201005,1.719226856493914,1.8614600174107698,10.0,2.0,1.1168737766989084e-05,5.999988000024e-05,1.1999976000048e-05,1.4178168496989951e-05,1.126590293634319e-05,1.0,1.0,1.0,0,0
